Nama Produk,Komentar,Penilaian
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples Kaca 150gr","Pengiriman cepat, tapi pas sampai kotaknya basah lepek semua gatau bocor atau gimana. Isinya jg sedikit ternyata ya, belum dicoba semoga enak dan ga basi kaya review orang2 disini sayang soalnya beli 2..",3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples Kaca 150gr","Biasa aja sih.... Wadahnya gede bangettt, sambelnya too oily. Pengiriman cepet bgt 👍",3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples Kaca 250gr",Pengiriman lama. 10 hari Jd pas sambal sampai udah mulai ada uapnya gitu.,3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Pakai Toples",Kalau sambal matahnya bagi lidah saya terlalu banyak perasan jeruknya jadi kecut,3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples 200gr",Rasanya enak cuman kepedesann,3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples 200gr","Rasanya tidak sesuai ekspektasi, tp lumayan pedas",3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Sachet ",Terimakasih kak ..barang Uda sampai 👍👍👍tapi sayang sekali Uda exp by tgl 13 Des 2020 ..gmna ini kak .. ternyata kecil ..😔😔😔,3
"SAMBAL NAGIH - SAMBAL MATAH TOPLES, Variasi: Toples 250gr",Kualitas ga fresh kek baru di buat karena pengiriman ya,3
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr","KURIRNYA SANGAT PARAH, bahkan barang dr luar negri duluan datang. PADAHAL UDAH SAMPE MEDAN DARI TANGGAL 14, MASA 5 HARI LAGI BARU SAMPE, KE UJUNG DUNIA YA",3
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr","Rasanya B aja ternyata, ga seenak yg dibayangkan, soalnya pernah makan yg lebih enak dr ini sih, tp packaging nya bagus",3
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 250gr","Syg sekali pas dtg, paket dlm keadaan minyak tumpah. Tp ttp sy terima krna malas utk komplain dgn kurir. Overall, smoga kedepan nnti lebih aman..",3
"SAMBAL NAGIH - SAMBAL CUMI ASIN TOPLES, Variasi: Toples 200gr","Sangat Pedas. Gak cocok buat saya yang selera nya pedas manis. Sumpah Pedas Banget. Keringet ku sampe bocor. Saya apresiasi untuk packing nya double bubble wrap. Dus nya di Bubblewrap, kalengnya juga di Bubble wrap. Tapi untuk rasanya, maaf sekali, sangat pedas buat saya.",3
Sambal Bawang Bu Rudy,"Menurutku kurang gurih sedikit, packaging bagus, sambel ga tumpah, lumayan buat stok dirumah, pengiriman agak lama",3
Sambal Bawang Bu Rudy,"Sambal maknyossss sudah beberapa kali pesan,, packaging oke pake bubble wrap segala",3
Sambal Bawang Bu Rudy,Lebih berasa kecut asemnya gatau emg kayak gini atau pas ini aja rasanya lbh brasa sambel tomat asem drpd bawang yg biasanya gurih asin pedes,3
Sambal Bawang Bu Rudy,Pengiriman lama dari produksi sudah 7 hari.tidak tau masih enak tidak.belum di coba.pengemas an sih aman tidak tumpah.tp sampai lama.,3
Sambal Bawang Bu Rudy,Rasanya asam kayanya kelamaan di perjalanan prod aja 10 des diterima 16des.. jadi asam di makannya,3
Sambal Bawang Bu Rudy,"Entah knp dpt 2 sambel yg rasanya dan bau nya udh gaenak alias asem gitu, pas chat adminnya masa klo mau retur ongkir ditanggung pembeli kan agak shock gt ya wkwk pas dichat lg mlh gadibales jd udh mls bgt untung yg 2 botol lain rasanya enak HHH",3
Sambal Bawang Bu Rudy,pengiriman cepat dan packing jg aman. tp kecewa dengan udangnya. krn ragu sdh chat langsung ke admin dan admin jawab kalo besar 150gr. ternyata pas dtg di wadahnya tulisannya 115gr. lain kali tolong admin jangan kasih info yg tdk benar ya. tq.,3
Sambal Bawang Bu Rudy,paket diterima sesuai pesanan. beli 2 botol yg 1 botol ga ada segel nya dan bocor. tlg lbh diperhatikan. udh isinya dikit terus bocor,3
Sambal Bawang Bu Rudy,"Pesanan pertama 4pcs di packing dengan kardus sambal bu rudy, sampai di tempat selamat tanpa penyok, pesanan kedua ini pesan tiga dipacking cuma pakai kardus tipis ga di bubble wrap..alhasil penyok.. tolong diperhatikan lagi packingnya.. surabaya ke jakarta kan jauh, masa packingnya cuma begitu 😣🙈",3
Sambal Bawang Bu Rudy,"Cepat sampai,tapi packingnya tidak seperti biasanya. Tidak ada bubble wrap yang melapisi, jadi ada yg bocor sedikit. Semoga makin baik kedepannya. Terima kasih😁",3
Sambal Bawang Bu Rudy,Pengiriman ke Jakarta cepat.. tapi sayang sambal yg dikirim made date nya 18-juni-22 dan 20-jun-22 (pemesanan 21-jun-22),3
Sambal Bawang Bu Rudy,saya pesan 1 kenapa dikirim 3 sambel bawangnya tolong dibenahi lagi yaaaa merugikan cust untung ga permasalahkan taste karena sudah tau bu rudy,3
Sambal Bawang Bu Rudy,"Dari segi packaging rapi banget, kualitas juga oke lah, nilainya gak tinggi karena masalah selera aja sih",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Tomat Bawang,Jinak","Lumayanlah bagi yg suka pedes2, wajib coba ya",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Bawang Pete,Galak","Pengiriman cepat, paket di bungkus dg rapat n aman di sertai double wrap. Untuk sambalnya kebanyakan minyak, menurutQ enggak pedes² amat. Wort it lah untuk harga segitu.",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Roa Asap,Jinak","Baru nyoba yg roa, udang sama teri Kl yg roa rasanya kurang mantap ya bun Kl yg udang udah enak tp kurang nendang Kl yg teri enak",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal terasi pete,Galak","Rasanya agak kurang berasa, mungkin ga cocok sama lidah saya.",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal udang,Galak","Sambal diterima dalam keadaan baik. Jumlah sesuai, tetapi variasinya ndak sesuai. Rasanya enak, lumayan pedes juga. Cukup kecewa karena yg dikirim tdk sesuai dgn yg dipesan.",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Roa Asap,Jinak","iseng2 coba, ternyata lumayan sih enak cuma oily sekali, packaging jg aman produk sampai tanpa ada kebocoran, pedesnya mantap megap2",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Galak","Baru banget sampe langsung aku makan. Untuk varian baby cumi rasanya lebih ke asin ya jadi harus pake nasi, kalo yg paru di gado pun enakkkk karna rasanya pas juga ga begitu pedes.",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Jinak","Ini jujur ya sesuai yg saya dapat , rasanya agak asin , minyak nya banyak , isi nya harga segitu kemahalan menurutku ,pengemasan bagus, kualitas nya di bagus in lagi ya kak , pengemasan 2 day , ini kU kasi bintang 3 dulu makasih :)",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Bawang,Galak","Packing aman , engga bocor . Soal rasa kurang cocok dilidah aku , kayak agak gimana gitu rasanya . Sambal parunya sih isinya mayan banyak . Sebelom beli yang gede sih recomend beli yang kecil dulu . Biar tau cocok dilidah kalian apa engga. Karna enak kan relatif yaa.",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Roa Asap,Jinak","Di tempat langganan sambelnya dimakan sama nasi aja jg jadi, tp aku penasaran sama tempat lain jd cobain ini, ini mah beneran sambel aja ga bisa jadi lauk Apa ya, kering, terus cabenya doang banyak isinya (teri/roa) ga berasa di aku mah",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Bawang Tomat,Galak","Untuk ukuran lebih kecil dari ekspektasi saya, cuman kemasan oke, namun yg saya sayangkan, kenapa rasanya pedas saja, mksd saya ini benar2 hanya pedas tidak gurih/asin, tipis banget rasa gurih/asinnya jd ini kek lombok diulek aja gitu, ini pendapat saya ya..",3
"SamBhojo - Sambal Sachet 20gr, Variasi: Sambal Baby cumi,Jinak",kalau untuk sambal bawangnya lumayan. sambal parunya pedes banget. sambal cumi lumayan cmn gk ada isinya.. OVERALL rasa nya sama semua. cmn beda di isi.,3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Untuk pengiriman cepat dan barang sampai dengan selamat. Tetapi isi sambel tidak sesuai ekspetasi. Isi sambelnya tidak ada setengah kaleng padahal baru sampek dan lanngsung kita buka, belum di makan juga. Semoga untuk pesanan berikutnya tolong di banyakin sambelnya sesuai dengan isinya. Liat review yang lain kaleng penuh. Terima kasih sebelumnya",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Sorry to say mas yangun.. packaging okee banget. Marketing ga di ragukan lagii.. tapi menurut aku rasanya ada yang kurang jd cenderung biasa saja.. dilidahku juga masuk ga pedes sama sekali. Ayam suir, cakalang sama cumi nya oke banget potongannya besar2. Cakalang candu nya yg aku terima cukup kering, kurang nendang rasanya dan kurang memorable di lidah",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Paket sptnya terburu-buru dikemas sehingga ada yg bocor.,3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Tutupnya terlalu besar dari pada tempatnya, untuk packing awal datang bagus dan rasanya memang enak tapi setalh di buka 1 hari sudah mulai berubah dan 2 hari sudah mulai kurang kualitas cita rasanya karena tutup nya terlalu besar daripada wadahnya, saya baru pertama kali order memang untuk hanya sekali makan atau memang desainnya seperti itu untuk packny",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Mungkin beda selera, kalau saya sih kurang sukak, maaf admin. Semoga semakin baik dan sukses 👌",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Enak sihhh tpi jujur cuminya dikit banget tidak seperti direview artis2 :( Kayanya kalau mau direview cuminya dibanyakin ini malah ke customer dikit bgt, cuma nemu 3-4 potong cumi kecil di dalam sambel",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Banyak minyak, b aja tidak seperti yang di bayang kan. Pengiriman di jalan lama banget harusnya diberikan opsi pilihan pengiriman lain.",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Sayang bgt tumpah gt, jdnya minyak semua pas dibuka, kaleng penutupnya jg bengkok mungkin karena dr ekspedisi, smga lebih hati hati lg",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Saking penasarannya gue pesen. Untuk rasa jujurly biasa aja.. ayam suwir dan cakalangnya keras buat gigi saya. Yg better cumi nya. Sekian😊,3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Ini pemesanan kedua saya, sambel nya enak, packing nya bagus, tapi saya kecewa karna sambel nya cuma sedikit (setengah botol). Pertama kali saya pesan, botol nya penuh dan tidak ada masalah sama sekali, pemesanan sekarang padahal cuma beda lokasi antar nya saja, karna itu saya beri bintang 3, semoga seller bisa merespon komentar saya. Terimakasih",3
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Baru pertama kali coba sih , awalnya aku kira bakalan beda dari sambel sambel biasanya tapi nyatanya sama aja kayak sambel tapi karna isi pilihan isiannya jadi tergantung isinya sih menentukan enak atau enggaknya , jujur bagiku kayak sambel biasanya gitu sih🙏🙏👍",3
"Sambal cakalang lona kitchen, Variasi: Pedas normal
","Kualitas:  banyak minyak, difoto yg sambal ijo tp udh coba yg cakalang berminyak dan ga berasa apa apa ",3
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
","Seler nya gk teliti pesanan saya slh,kok d krm samabal cakalng semua ",3
"Sambal cakalang lona kitchen, Variasi: Extra Pedas
",kurang suka ada daun jeruk nya,3
Sambal Naknan Bawang Level 3,"Hanya pengemasan yg kurang bagus,karna pada saat sampai bocor.",3
Sambal Naknan Sachet ,"Respon seller ok, barang yg di terima sesuai, pengiriman yg lama, yg lainny oke lah",3
Sambal Naknan Sachet ,"Produk original, tidak ada yg bocor & harga bersaing. Hanya saja, atitude seller dalam membalas pesan kurang baik. Sy order stgh 10 pagi, baru diproses jam 2. Poin seller betul bahwa apabila sy mau yg cepat memesan ojol instant. Tapi, alangkah lebih baiknya kalau menjawab ke cust lebih sopan.",3
Paket Isi 10 Sachet Naknan Sambal Bawang ,"pengemasan cepat, walaupun lebaran tetap dikirim, lama pengiriman dr jatim ke jateng 2 harian, packing rapet. ada cashback, tapi packagingnya ga expect bakal semini ini, 3 sachet habis dlm sekali makan saja, jd kurang worth it dg harga segitu, mending beli yg botolan walau mahalan dikit, rasa standar",3
Paket Isi 10 Sachet Naknan Sambal Bawang ,Baru sampai sambalnya terimakasih belum tak coba tp semoga rasanya cocok yaa,3
Paket Isi 10 Sachet Naknan Sambal Bawang ,ada yg bocor.. jadi beleberan kesemua..,3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Di keterangannya oseng DAGING SAPI tapi nyatanya pas di buka isinya oseng KIKIL SAPI, ga ada daging sapinya sama sekali semua isinya KIKIL sama sambel tok, kecewa si udh pngen nyobain dari lama tp yg dtng ga sesuai, sama aja pembohongan kalo gini, ga lagi2 order disini .",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Saya kasih bintang 3 utk kemasannya yg sdh terbuka ujungnya...kalo rasanya rekomenlah...,3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Kemasan kurang aman, pesanan saya terima dengan berlumuran minyak. Tingkat pedasnya emang lumayan, tapi rasanya biasa aja.",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Korban nya Fadil jaidi, rasanya mantullll, tapi sayang yg mercon pas sampe di panasin langsung asem rasanya 😭😭",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Sebenernya enak pol tapi pedesnya bikin sakit perut lain x repurchase order gamau yang pedes banget huah🥵,3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Lumayan, untuk ikanny suka bgt bumbuny enak. Cm untuk daging merconny ky ada asemnya gt rasanya. Klo untuk ayamny lumayan tp trllu pekat rasa dri si daun jerukny 😂 . Lebih enak yg ikansi menurutku .. cm untuk pedes yg OMBAK udh trmasuk pedes bgt ..",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Bandung ke bekasi sehari sampai, cepet banget, biasanya lama kalo ga jabodetabek. Rasa pedesnya enak kalo yg suka asin tambahin garam dikit lagi, isi dan cabenya banyak, sayang yg dagingnya alot krn dpt bagian otot, yg lain blm dicoba. Buat pecinta pedas wajib coba, bikin jontor dan moncor 🤣",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Yg oseng mercon kcewa bgt isinya stengah daging stengah lemak, saran kdepannya daging smua aja, lemaknya ga usah kaka. Yg cakalang balado mantap, yg ayam palekko blm coba",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Paket dateng dengan bungkusan udah kembung banget mau meledak:( rasa juga udah berubah huhu sedih bangettttt kelamaan di ekspedisi mumgkin, ga sempet kefoto karna langsung dipanasin.",3
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Pengiriman cepat, packing jg rapih.. pas td dibuka cabe nya wooow.. pas diliat ikannya isinya cm 2 doank yg gede nya.. yg sisanya g tau haha. Emg isinya dikit atau gmn, g tau jg saya br prtama cb. Smga enak y thank u",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Dipackging sangat baik menggunakan wrap buble,",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Packing rapi, emg lama tggu pengirimannya. Karna kita harus PO dulu. Blm dicoba sih, semiga enakkk. Racun fadil nih",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Kemarin pas pertama kali sampai tenyata makanannya rusak/basi, gatau makanan yg mana yg basi. Akhirnya hub admin via shopee dan lanjut ke ig sy kompalin sm makanan yg rusak, akhirnya di ganti dgn yg baru. Pas nyampe tnyt ayam palekko nya rusak lg (bkn rezeki sy) tp alhamdulillah yg 2 menu msh aman.",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Untuk yg oseng daging mercon, dagingnya lumayan banyak. Kalo Cakalang isinya cuma 1 bagian ekor ikan kecil, ada suiran ikan dan daging sedikit. Yg rada kecewa ayam karena bener² cuma setengah sayap kecil, sisanya ada tulang² 3 potong yg dagingnya sedikit. Sambelnya enak & yg recommende daging mercon",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)","Paket mendarat dengan selamat, penasaran pengen cepet cobain. Tapi yang ayam pedas palekko kemasan nya kembung banget. Kalo diliat dari komen2 disini sih yg kembung biasanya rasanya agak beda. Tapi Semoga ini ngga yaa huhu.",4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Enak pedess Bikiin nagih pedas nampol nambah nasi terus. Huh haaahhh huhh haaaahh 🤩,4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Paket sampai dg selamat tetapi ayam pedas palekkonya pecah tapi sepertinya gak terlalu banyak yg keluar gak samar buat coba aromanya enak banget,4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Dear balayar.. Pesanan sudah sampai.. Sengaja baru beri penilaian karena mau di coba dulu... Oseng daging mercon sudah dicoba.. Sambal nya mantab pedas dan enak.. Namun dagingnya terasa kecut atau masam.. Mungkin karena pengiriman jauh dengan waktu 3 sampai 4 hari mumbuat kualitas rasanya berkurang,4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Selalu order terus endul bikin nasi cepet ludes,4
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Maap kasih bintang 2... kali ini gak recomended... Lagi2 yg daging bermasalah.. walaupun udah dikirim 2x masih asem dan ngembung plastiknya.. daging nya pun gk ada... Tp thanks deh... Next kwalitas ditingkatkan lg.. jgn mau untung nya aja...,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Yg lain enak seperti biasanya aku pesen tp syg nya Ayam paleko nya basi dan kemasan sudah gelembung ☹️☹️,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)",Produk sbanrnya oke cumn syg smpe ke saya udh basi kecuali yg cakalang suwirnya😫,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Yg oseng mercon daging isinya 80% Kikil 20% Daging Dagingnya sedikit bgt sumpah,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Makanannya sudah basi begitu diterima, sangat disayangkan. pdhal sdh ikut sesuai instruksi dikemasan dengan lsg di panaskan. Maaf saya kasih bintang 2,",2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Minyaknya meluber semua 🤦 kyaknya bocor saat pengiriman... Porsinya sangat sedikit... Yaa... yg penting udah di coba lah....,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Yg daging asem gak bisa dimakan sama sekali. Td nya pas numis udh kecium bau asemnya trs dicicip udah asem bgt :( jd nya kebuang gt aja syg bgt. Yg ikan sm ayam blm dibuka semoga aja masih bagus,2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: BADAI (Pedas 100%)","Basi, mungkin krn kelamaan dijalan",2
"OSENG BALAYAR PAKET BALAYAR 3 VARIAN, Variasi: OMBAK (Pedas 50%)",Pengirimannya lambat,2
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Tingkatkan lagi untuk penambahan isinya ayam suwir krg bnyk isix ayamnya😁🙏🏼klo soal rasa mah juara semua menux😍🤤next time mau pesan lagi Order 🥰😇,4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Pengiriman cepat dibandingkan keterangan yg dibuat. Kemasana bagus dan sempurna. Design kemasan juga aman. Saya sudah coba untuk varian acikiwir. Saya sangat pecinta sambel. Segala jenis sambel saya makan. Untuk saya yg suka pedes. Ini masih kurang. Nempel dilihat diberasa apa2. Gak tahu varian yg lain. Tapi beda org beda selera.,4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Rasanya ada gurih, asin, rasa bawang putih, enak makan sama telor dadar, oke lah kalo ga ad lauk makan pake smbel aja . Mau ditambahin lauk lg lebih enak. Saya suk smbal cakalang nya ga terlalu berminyak. Enak.",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]","Rasa enak makyuuss mantap, gak kalah sama yang mahal banget. Anak saya yang pengen ini dan keturutan dong bisa makan inj. Bahagianya kegirangan pokoknya mah",4
"Eatsambel - Paket Favorit Mas Yangun, Variasi: CUMI-CKL-AYM [120GR]",Yang belum mencoba silahkan di coba...saya sekali nyoba rasanya maknyussss bosss..,4
